parent_id,child_id,birth_order,adoptive
1.1.5.1a,1.1.5.1.5,5,
1.1.5.1,1.1.5.1.6,6,
1.1.5.1a,1.1.5.1.6,6,
1.1.5.1.6,1.1.5.1.6.1,1,
1.1.5.1.6a,1.1.5.1.6.1,1,
1.1.5.1.6,1.1.5.1.6.2,2,
1.1.5.1.6a,1.1.5.1.6.2,2,
1.1.5.1.6,1.1.5.1.6.3,3,
1.1.5.1.6a,1.1.5.1.6.3,3,
1.1.5.1,1.1.5.1.7,7,
1.1.5.1a,1.1.5.1.7,7,
1.1.5.1.7,1.1.5.1.7.1,1,
1.1.5.1.7a,1.1.5.1.7.1,1,
1.1.5.1.7.1,1.1.5.1.7.1.1,1,
1.1.5.1.7.1a,1.1.5.1.7.1.1,1,
1.1.5.1.7.1,1.1.5.1.7.1.2,2,
1.1.5.1.7.1a,1.1.5.1.7.1.2,2,
1.1.5.1.7.1,1.1.5.1.7.1.3,3,
1.1.5.1.7.1a,1.1.5.1.7.1.3,3,
1.1.5.1.7.1,1.1.5.1.7.1.4,4,
1.1.5.1.7.1a,1.1.5.1.7.1.4,4,
1.1.5.1.7,1.1.5.1.7.2,2,
1.1.5.1.7a,1.1.5.1.7.2,2,
1.1.5.1,1.1.5.1.8,8,
1.1.5.1a,1.1.5.1.8,8,
1.1.5.1.8,1.1.5.1.8.1,1,
1.1.5.1.8a,1.1.5.1.8.1,1,
1.1.5.1.8.1,1.1.5.1.8.1.1,1,
1.1.5.1.8.1a,1.1.5.1.8.1.1,1,
1.1.5.1.8.1.1,1.1.5.1.8.1.1.1,1,
1.1.5.1.8.1.1a,1.1.5.1.8.1.1.1,1,
1.1.5.1.8.1.1,1.1.5.1.8.1.1.2,2,
1.1.5.1.8.1.1a,1.1.5.1.8.1.1.2,2,
1.1.5.1.8,1.1.5.1.8.2,2,
1.1.5.1.8a,1.1.5.1.8.2,2,
1.1.5.1.8.2,1.1.5.1.8.2.1,1,
1.1.5.1.8.2a,1.1.5.1.8.2.1,1,
1.1.5.1,1.1.5.1.9,9,
1.1.5.1a,1.1.5.1.9,9,
1.1.5.1,1.1.5.1.10,10,
1.1.5.1a,1.1.5.1.10,10,
1.1.5.1.10,1.1.5.1.10.1,1,
1.1.5.1.10a,1.1.5.1.10.1,1,
1.1.5.1.10.1,1.1.5.1.10.1.1,1,
1.1.5.1.10.1a,1.1.5.1.10.1.1,1,
1.1.5.1.10.1,1.1.5.1.10.1.2,2,
1.1.5.1.10.1a,1.1.5.1.10.1.2,2,
1.1.5,1.1.5.2,2,
1.1.5a,1.1.5.2,2,
1.1.5.2,1.1.5.2.1,1,
1.1.5.2a,1.1.5.2.1,1,
1.1.5.2.1,1.1.5.2.1.1,1,
1.1.5.2.1a,1.1.5.2.1.1,1,
1.1.5.2.1,1.1.5.2.1.2,2,
1.1.5.2.1a,1.1.5.2.1.2,2,
1.1.5.2.1.2,1.1.5.2.1.2.1,1,
1.1.5.2.1.2a,1.1.5.2.1.2.1,1,
1.1.5.2.1,1.1.5.2.1.3,3,
1.1.5.2.1a,1.1.5.2.1.3,3,
1.1.5.2.1.3,1.1.5.2.1.3.1,1,
1.1.5.2.1.3a,1.1.5.2.1.3.1,1,
1.1.5.2.1.3.1,1.1.5.2.1.3.1.1,1,
1.1.5.2.1.3.1a,1.1.5.2.1.3.1.1,1,
1.1.5.2.1.3,1.1.5.2.1.3.2,2,
1.1.5.2.1.3a,1.1.5.2.1.3.2,2,
1.1.5.2.1.3.2,1.1.5.2.1.3.2.1,1,
1.1.5.2.1.3.2a,1.1.5.2.1.3.2.1,1,
1.1.5.2.1.3.2,1.1.5.2.1.3.2.2,2,
1.1.5.2.1.3.2a,1.1.5.2.1.3.2.2,2,
1.1.5.2.1.3.2,1.1.5.2.1.3.2.3,3,
1.1.5.2.1.3.2a,1.1.5.2.1.3.2.3,3,
1.1.5.2.1.3,1.1.5.2.1.3.3,3,
1.1.5.2.1.3a,1.1.5.2.1.3.3,3,
1.1.5.2.1.3.3,1.1.5.2.1.3.3.1,1,
